Region,Country,Election Type,Date,Year,Month,Day,Month_Name,Day_Name
Africa,Algeria,Presidential,"Saturday, 7 September 2024",2024,9,7,September,Saturday
Oceania,Australia,State,"Saturday, 23 March 2024",2024,3,23,March,Saturday
Oceania,Australia,State,"Saturday, 24 August 2024",2024,8,24,August,Saturday
Oceania,Australia,State,"Saturday, 19 October 2024",2024,10,19,October,Saturday
Oceania,Australia,State,"Saturday, 26 October 2024",2024,10,26,October,Saturday
Europe,Austria,Parliamentary,"Sunday, 29 September 2024",2024,9,29,September,Sunday
Asia,Azerbaijan,Presidential,"Wednesday, 7 February 2024",2024,2,7,February,Wednesday
Asia,Azerbaijan,Parliamentary,"Sunday, 1 September 2024",2024,9,1,September,Sunday
Asia,Bangladesh,General,"Sunday, 7 January 2024",2024,1,7,January,Sunday
Europe,Belarus,Parliamentary,"Sunday, 25 February 2024",2024,2,25,February,Sunday
Europe,Belgium,General,"Sunday, 9 June 2024",2024,6,9,June,Sunday
Americas,Belize,Municipal,"Wednesday, 6 March 2024",2024,3,6,March,Wednesday
Asia,Bhutan,Parliamentary,"Tuesday, 9 January 2024",2024,1,9,January,Tuesday
Africa,Botswana,Parliamentary,"Wednesday, 30 October 2024",2024,10,30,October,Wednesday
Americas,Brazil,Municipal,"Sunday, 6 October 2024",2024,10,6,October,Sunday
Americas,Brazil,Mayoral,"Sunday, 6 October 2024",2024,10,6,October,Sunday
Americas,Brazil,Mayoral,"Sunday, 6 October 2024",2024,10,6,October,Sunday
Europe,Bulgaria,Parliamentary,"Sunday, 9 June 2024",2024,6,9,June,Sunday
Europe,Bulgaria,Parliamentary,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Africa,Burkina Faso,Presidential,TBD,TBD,TBD,TBD,TBD,TBD
Americas,Canada,General,"Saturday, 19 October 2024",2024,10,19,October,Saturday
Americas,Canada,General,"Monday, 21 October 2024",2024,10,21,October,Monday
Americas,Canada,General,"Monday, 28 October 2024",2024,10,28,October,Monday
Americas,Canada,General,"Saturday, 16 November 2024",2024,11,16,November,Saturday
Africa,Chad,Presidential,"Monday, 6 May 2024",2024,5,6,May,Monday
Africa,Chad,Parliamentary,"Sunday, 29 December 2024",2024,12,29,December,Sunday
Americas,Chile,Municipal,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Americas,Chile,Regional,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Africa,Comoros,Presidential,"Sunday, 14 January 2024",2024,1,14,January,Sunday
Americas,Costa Rica,Municipal,"Sunday, 4 February 2024",2024,2,4,February,Sunday
Europe,Croatia,Parliamentary,"Wednesday, 17 April 2024",2024,4,17,April,Wednesday
Europe,Croatia,Presidential,TBD,TBD,TBD,TBD,TBD,TBD
Americas,Dominican Republic,General,"Sunday, 19 May 2024",2024,5,19,May,Sunday
Americas,El Salvador,General,"Sunday, 4 February 2024",2024,2,4,February,Sunday
Europe,European Union,General,"Thursday, 6 June 2024",2024,6,6,June,Sunday
Europe,Finland,Presidential,"Sunday, 28 January 2024",2024,1,28,January,Sunday
Europe,France,Parliamentary,"Sunday, 30 June 2024",2024,6,30,June,Sunday
Europe,France,Parliamentary (second round),"Sunday, 7 July 2024",2024,7,7,July,Sunday
Africa,Gabon,Referendum,"Saturday, 16 November 2024",2024,11,16,November,Saturday
Europe,Georgia,Parliamentary,"Saturday, 26 October 2024",2024,10,26,October,Saturday
Africa,Ghana,General,"Saturday, 7 December 2024",2024,12,7,December,Saturday
Africa,Guinea-Bissau,Parliamentary,TBD,TBD,TBD,TBD,TBD,TBD
Africa,Guinea-Bissau,Presidential,TBD,TBD,TBD,TBD,TBD,TBD
Europe,Iceland,Presidential,"Saturday, 1 June 2024",2024,6,1,June,Saturday
Europe,Iceland,Parliamentary,"Saturday, 30 November 2024",2024,11,30,November,Saturday
Asia,India,General,"Friday, 19 April 2024",2024,4,19,April,Friday
Asia,Indonesia,Presidential,"Wednesday, 14 February 2024",2024,2,14,February,Wednesday
Asia,Iran,Parliamentary,"Friday, 1 March 2024",2024,3,1,March,Friday
Asia,Iran,Presidential,"Friday, 28 June 2024",2024,6,28,June,Friday
Americas,Jamaica,Local,"Monday, 26 February 2024",2024,2,26,February,Monday
Asia,Japan,Parliamentary,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Asia,Jordan,General,"Tuesday, 10 September 2024",2024,9,10,September,Tuesday
Oceania,Kiribati,Parliamentary,"Wednesday, 14 August 2024",2024,8,14,August,Wednesday
Oceania,Kiribati,Presidential,"Friday, 25 October 2024",2024,10,25,October,Friday
Asia,Kuwait,Parliamentary,"Thursday, 4 April 2024",2024,4,4,April,Thursday
Europe,Lithuania,Presidential,"Sunday, 12 May 2024",2024,5,12,May,Sunday
Europe,Lithuania,Presidential,"Sunday, 26 May 2024",2024,5,26,May,Sunday
Europe,Lithuania,Parliamentary,"Sunday, 13 October 2024",2024,10,13,October,Sunday
Europe,Lithuania,Parliamentary,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Africa,Madagascar,Parliamentary,"Wednesday, 29 May 2024",2024,5,29,May,Wednesday
Asia,Maldives,Parliamentary,"Sunday, 21 April 2024",2024,4,21,April,Sunday
Africa,Mauritania,Presidential,"Saturday, 29 June 2024",2024,6,29,June,Saturday
Africa,Mauritius,Parliamentary,"Sunday, 10 November 2024",2024,11,10,November,Sunday
Americas,Mexico,General,"Sunday, 2 June 2024",2024,6,2,June,Sunday
Europe,Moldova,Presidential,"Sunday, 20 October 2024",2024,10,20,October,Sunday
Asia,Mongolia,Parliamentary,"Friday, 28 June 2024",2024,6,28,June,Friday
Africa,Mozambique,General,"Wednesday, 9 October 2024",2024,10,9,October,Wednesday
Africa,Namibia,"Presidential, Legislative","Wednesday, 27 November 2024",2024,11,27,November,Wednesday
Asia,North Korea,TBD- Parliamentary,TBD,TBD,TBD,TBD,TBD,TBD
Asia,North Macedonia,Presidential,"Wednesday, 24 April 2024",2024,4,24,April,Wednesday
Asia,North Macedonia,Parliamentary,"Wednesday, 8 May 2024",2024,5,8,May,Wednesday
Asia,Pakistan,General,"Thursday, 8 February 2024",2024,2,8,February,Thursday
Oceania,Palau,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Asia,Panama,General,"Sunday, 5 May 2024",2024,5,5,May,Sunday
Europe,Portugal,Parliamentary,"Sunday, 10 March 2024",2024,3,10,March,Sunday
Americas,Puerto Rico,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Europe,Romania,Presidential,"Sunday, 24 November 2024",2024,11,24,November,Sunday
Europe,Romania,Parliamentary,"Sunday, 1 December 2024",2024,12,1,December,Sunday
Europe,Russia,Presidential,"Friday, 15 March 2024",2024,3,15,March,Friday
Africa,Rwanda,"Presidential, Parliamentary","Monday, 15 July 2024",2024,7,15,July,Monday
Europe,San Marino,General,"Sunday, 9 June 2024",2024,6,9,June,Sunday
Africa,Senegal,Presidential,"Sunday, 24 March 2024",2024,3,24,March,Sunday
Africa,Senegal,Parliamentary,"Sunday, 17 November 2024",2024,11,17,November,Sunday
Americas,Sint Maarten,General,"Thursday, 11 January 2024",2024,1,11,January,Thursday
Europe,Slovakia,Presidential,"Saturday, 23 March 2024",2024,3,23,March,Saturday
Oceania,Solomon Islands,General,"Wednesday, 17 April 2024",2024,4,17,April,Wednesday
Africa,Somaliland,Presidential,"Wednesday, 13 November 2024",2024,11,13,November,Wednesday
Africa,South Africa,General,"Wednesday, 29 May 2024",2024,5,29,May,Wednesday
Asia,South Korea,Parliamentary,"Wednesday, 10 April 2024",2024,4,10,April,Wednesday
Africa,South Sudan,General,TBD,TBD,TBD,TBD,TBD,TBD
Asia,Sri Lanka,Presidential,"Saturday, 21 September 2024",2024,9,21,September,Saturday
Asia,Sri Lanka,Parliamentary,"Thursday, 14 November 2024",2024,11,14,November,Thursday
Asia,Syria,Parliamentary,"Monday, 15 July 2024",2024,7,15,July,Monday
Asia,Taiwan,Presidential,"Saturday, 13 January 2024",2024,1,13,January,Saturday
Africa,Togo,Parliamentary,"Saturday, 20 April 2024",2024,4,20,April,Saturday
Africa,Tunisia,Presidential,"Sunday, 6 October 2024",2024,10,6,October,Sunday
Oceania,Tuvalu,Parliamentary,"Friday, 26 January 2024",2024,1,26,January,Friday
Europe,United Kingdom,Parliamentary,"Thursday, 4 July 2024",2024,7,4,July,Thursday
Americas,United States,General,"Tuesday, 5 November 2024",2024,11,5,November,Tuesday
Americas,Uruguay,General,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Asia,Uzbekistan,Parliamentary,"Sunday, 27 October 2024",2024,10,27,October,Sunday
Asia,Venezuela,Presidential,"Sunday, 28 July 2024",2024,7,28,July,Sunday
